單字,詞性,詞根,中文解釋,例句1,例句2
aboard,prep./adv.,a- on; board- board,在船上; 在飛機上,Welcome aboard the flight.,He went aboard the ship.
acceptable,adj.,ac- to/toward; -cept- take; -able capable of,可接受的; 令人滿意的,The offer is acceptable.,His behavior was not acceptable.
accurate,adj.,ac- to/toward; -cur- care; -ate make/cause to be,準確的; 精確的,The information is accurate.,He gave an accurate description.
ache,n./v.,ache- pain,疼痛; 痛,He has a headache.,My head aches.
achieve(ment),v./(n.),a- to/toward; -chiev- head; -ment result of,實現; 完成; 成就,He achieved his goal.,The achievement of his dreams.
additional adj.,ad- to/toward; -dit- give; -ion act/state of; -al pertaining to,額外的; 附加的,He asked for additional information.,There will be an additional charge.,
admire,v.,ad- to/toward; -mir- wonder,欽佩; 讚賞,I admire his courage.,She admired the painting.
advanced,adj.,ad- to/toward; -vance- before; -ed past participle,先進的; 高級的,He is studying advanced mathematics.,Advanced technology.
advantage,n.,ad- to/toward; -vant- before; -age act/state of,優勢; 好處,He has an advantage over others.,Take advantage of the opportunity.
adventure,n.,ad- to/toward; -vent- come; -ure act/state of,冒險; 奇遇,He loves adventure stories.,They went on an adventure.
advertise(ment)/ad,v./(n.),ad- to/toward; -vert- turn; -ise make; -ment result of,做廣告; 宣傳; 廣告,They advertised the new product.,He saw an advertisement for a job.
advise,v.,ad- to/toward; -vis- see,建議; 忠告,He advised her to study hard.,I advise you to be careful.
adviser/advisor,n.,ad- to/toward; -vis- see; -er/or person,顧問; 導師,He is a financial adviser.,She consulted her advisor.
afford,v.,af- to/toward; -ford- provide,負擔得起; 提供,I can't afford a new car.,He can afford to buy it.
afterward/afterwards,adv.,after- after; ward- direction,之後; 後來,"He left, and she arrived afterwards.",They went to dinner afterward.
agriculture,n.,agri- field; cult- till; -ure act/state of,農業; 農學,He studies agriculture.,The country's agriculture is important.
airline,n.,air- air; line- line,航空公司,He works for an airline.,A major airline.
alley,n.,alley- path,小巷; 衚衕,The cat ran down the alley.,A dark alley.
almond,n.,almond- nut,杏仁,She likes almond milk.,Almond trees.
alphabet,n.,alpha- first letter; beta- second letter,字母表,He learned the alphabet.,The English alphabet.
amaze(ment),v./(n.),a- to/toward; -maze- confuse; -ment result of,使驚奇; 驚奇,His performance amazed the audience.,She looked at him in amazement.
ambassador,n.,amb- around; -ass- go; -ador- agent,大使,He is the ambassador to France.,The American ambassador.
ambition,n.,ambi- both; -it- go; -ion act/state of,抱負; 雄心,He has a strong ambition to succeed.,Her ambition is to become a doctor.
ambulance,n.,ambul- walk; -ance state/quality,救護車,The ambulance took him to the hospital.,He called an ambulance.
angel,n.,angel- messenger,天使; 守護神,She believes in angels.,An angel appeared to him.
announce(ment),v./(n.),an- to/toward; -nounc- tell; -ment result of,宣佈; 宣告; 公告,He announced his resignation.,The announcement was made.
anxious,adj.,anx- anxious; -ious full of,焦慮的; 擔憂的; 渴望的,He was anxious about the exam.,She was anxious to please.
anyhow,adv.,any- any; how- how,無論如何; 反正,"It's raining, but we'll go anyhow.","Anyhow, let's get started."
apart,adv.,a- on; part- part,分開地; 分離地,They live apart.,The two houses are far apart.
apologize,v.,apo- away; -log- word; -ize make,道歉; 認錯,He apologized for his mistake.,She apologized to him.
appeal,n./v.,ap- to/toward; -peal- call,吸引力; 呼籲; 懇求,The idea has a strong appeal.,He appealed for help.
approve,v.,ap- to/toward; -prov- test,批准; 贊成,The committee approved the plan.,She approved of his decision.
apron,n.,apron- napkin,圍裙,She wore an apron while cooking.,The apron of the stage.
armed,adj.,arm- weapon; -ed having,武裝的; 有武器的,The police were heavily armed.,Armed robbery.
arrest,n./v.,ar- to/toward; -rest- stop,逮捕; 拘留; 逮捕,He was arrested for theft.,The police made an arrest.
ash,n.,ash- residue,灰; 灰燼,The fire left a pile of ash.,Cigarette ash.
aside,adv.,a- on; side- side,在旁邊; 到一邊,He stepped aside.,Put your worries aside.
